FIPS,Rate_x,Rate_y,Rate
12001,772.1,162.2,8.7
12003,562.7,92.5,3.7
12005,400.0,93.1,1.1
12007,484.2,175.0,7.4
12009,303.0,87.5,3.4
12011,491.9,140.6,17.6
12013,374.6,47.7,0.0
12015,164.5,33.4,2.4
12017,287.2,24.4,2.2
12019,367.6,99.8,1.5
12021,240.3,18.5,5.3
12023,470.8,102.2,1.5
12027,408.5,31.9,5.8
12029,389.0,56.5,6.3
12031,651.3,251.6,7.3
12033,596.1,171.7,8.8
12035,284.1,56.0,1.0
12037,344.9,17.2,0.0
12039,811.8,149.4,6.5
12041,360.3,65.0,0.0
12043,239.8,30.0,0.0
12045,208.5,63.2,0.0
12047,640.9,62.7,7.0
12049,439.7,14.5,0.0
12051,549.8,48.0,5.3
12053,264.3,45.3,2.3
12055,302.2,24.6,0.0
12057,578.0,142.8,16.9
12059,289.1,20.3,5.1
12061,297.2,41.6,1.4
12063,443.6,61.3,0.0
12065,429.8,133.9,7.0
12067,146.9,22.6,0.0
12069,345.4,58.1,2.9
12071,363.6,58.8,3.3
12073,316.71,247.3,8.5
12075,514.6,78.2,0.0
12077,191.6,12.0,0.0
12079,528.6,42.7,0.0
12081,433.5,138.8,1.8
12083,410.8,89.2,3.3
12085,183.8,35.0,4.6
12086,409.8,92.7,16.6
12087,220.0,24.9,13.1
12089,220.6,63.4,0.0
12091,455.6,72.2,0.5
12093,333.1,25.4,0.0
12095,588.7,154.5,15.2
12097,414.4,63.7,5.0
12099,351.9,81.3,4.7
12101,231.3,42.7,4.0
12103,422.6,143.0,8.5
12105,468.7,105.5,7.9
12107,399.6,79.9,0.0
12109,276.7,52.5,0.0
12111,344.8,82.3,3.1
12113,245.2,43.5,3.7
12115,237.2,75.8,3.3
12117,341.0,70.9,6.7
12119,170.9,29.0,0.9
12121,297.3,54.9,2.3
12123,336.9,48.1,0.0
12125,396.4,112.3,6.6
12127,286.7,80.5,3.6
12129,341.7,38.7,0.0
12131,245.8,50.2,0.0
12133,251.8,65.0,0.0
13001,368.8,59.7,0.0
13003,289.5,36.2,0.0
13005,365.5,8.9,0.0
13007,299.3,0.0,0.0
13009,556.1,160.7,2.2
13011,119.5,16.3,0.0
13013,375.1,64.4,0.0
13015,370.3,79.0,6.9
13017,747.9,177.0,0.0
13019,304.5,42.0,0.0
13021,316.71,354.8,3.9
13023,555.9,140.9,0.0
13025,256.9,27.3,0.0
13027,457.6,103.1,0.0
13029,389.1,72.4,0.0
13031,957.7,169.9,11.2
13033,501.7,96.0,4.4
13035,329.6,64.2,0.0
13037,459.9,92.0,0.0
13039,330.3,66.1,0.0
13043,320.0,54.9,18.3
13045,653.3,178.0,1.8
13047,229.7,72.0,1.5
13049,430.0,83.0,0.0
13051,796.2,202.9,4.0
13053,654.1,116.8,0.0
13055,314.3,47.7,0.0
13057,200.8,24.4,3.1
13059,813.1,169.1,4.1
13061,755.3,0.0,0.0
13063,778.5,230.5,30.3
13065,927.2,88.3,14.7
13067,390.1,89.5,11.7
13069,453.5,48.6,6.9
13071,322.0,71.3,4.3
13073,162.5,30.3,5.9
13075,468.8,87.9,5.9
13077,255.3,69.8,2.3
13079,199.9,40.0,0.0
13081,587.1,141.4,8.6
13083,145.4,48.5,0.0
13085,145.5,13.2,0.0
13087,858.9,175.4,0.0
13089,642.5,196.5,33.9
13091,443.0,103.7,0.0
13093,398.5,48.9,14.0
13095,316.71,209.7,30.1
13097,500.1,112.2,6.6
13099,929.6,237.1,0.0
13101,147.9,0.0,0.0
13103,361.8,51.4,0.0
13105,454.1,132.7,0.0
13107,782.8,227.4,4.4
13109,664.6,92.3,0.0
13111,105.2,12.6,0.0
13113,257.5,37.8,1.8
13115,471.7,132.5,4.2
13117,97.7,11.8,0.5
