FIPS,Rate
8035,0.3
8037,1.9
8039,4.2
8041,0.9
8043,0.0
8045,1.7
8047,0.0
8049,0.0
8051,0.0
8053,0.0
8055,0.0
8057,0.0
8059,2.5
8061,0.0
8063,12.4
8065,0.0
8067,0.0
8069,1.9
8071,0.0
8073,0.0
8075,0.0
8077,0.0
8079,0.0
8081,0.0
8083,0.0
8085,0.0
8087,3.5
8089,0.0
8091,0.0
8093,0.0
8095,0.0
8097,0.0
8099,0.0
8101,3.1
8103,0.0
8105,0.0
8107,4.3
8109,0.0
8111,0.0
8113,0.0
8115,0.0
8117,7.0
8119,0.0
8121,0.0
8123,1.5
8125,0.0
9001,2.0
9003,2.6
9005,0.0
9007,1.8
9009,3.9
9011,2.6
9013,0.0
9015,0.0
10001,4.7
10003,6.0
10005,2.9
11001,0.0
12001,8.7
12003,3.7
12005,1.1
12007,7.4
12009,3.4
12011,17.6
12013,0.0
12015,2.4
12017,2.2
12019,1.5
12021,5.3
12023,1.5
12027,5.8
12029,6.3
12031,7.3
12033,8.8
12035,1.0
12037,0.0
12039,6.5
12041,0.0
12043,0.0
12045,0.0
12047,7.0
12049,0.0
12051,5.3
12053,2.3
12055,0.0
12057,16.9
12059,5.1
12061,1.4
12063,0.0
12065,7.0
12067,0.0
12069,2.9
12071,3.3
12073,8.5
12075,0.0
12077,0.0
12079,0.0
12081,1.8
12083,3.3
12085,4.6
12086,16.6
12087,13.1
12089,0.0
12091,0.5
12093,0.0
12095,15.2
12097,5.0
12099,4.7
12101,4.0
12103,8.5
12105,7.9
12107,0.0
12109,0.0
12111,3.1
12113,3.7
12115,3.3
12117,6.7
12119,0.9
12121,2.3
12123,0.0
12125,6.6
12127,3.6
12129,0.0
12131,0.0
12133,0.0
13001,0.0
13003,0.0
13005,0.0
13007,0.0
13009,2.2
13011,0.0
13013,0.0
13015,6.9
13017,0.0
13019,0.0
13021,3.9
13023,0.0
13025,0.0
13027,0.0
13029,0.0
13031,11.2
13033,4.4
13035,0.0
13037,0.0
13039,0.0
13043,18.3
13045,1.8
13047,1.5
13049,0.0
13051,4.0
13053,0.0
13055,0.0
13057,3.1
13059,4.1
13061,0.0
13063,30.3
13065,14.7
13067,11.7
13069,6.9
13071,4.3
13073,5.9
13075,5.9
13077,2.3
13079,0.0
13081,8.6
13083,0.0
13085,0.0
13087,0.0
13089,33.9
13091,0.0
13093,14.0
13095,30.1
13097,6.6
13099,0.0
13101,0.0
13103,0.0
13105,0.0
13107,4.4
13109,0.0
13111,0.0
13113,1.8
13115,4.2
13117,0.5
13119,0.0
13121,43.6
13123,0.0
13125,0.0
13127,2.5
13129,1.8
13131,0.0
13133,0.0
13135,11.2
13137,0.0
13139,1.6
13141,0.0
13143,0.0
13145,3.1
13147,0.0
13149,0.0
13151,3.8
13153,3.4
13155,0.0
13157,3.3
13159,0.0
13161,0.0
13163,6.1
13165,0.0
13167,0.0
13169,0.0
13171,0.0
13173,0.0
13175,6.3
13177,3.4
13179,1.6
13181,0.0
13183,0.0
13185,15.1
13187,0.0
13189,4.6
13191,0.0
13193,7.1
13195,0.0
13197,0.0
13199,4.7
