FIPS,Rate
12031,251.6
12033,171.7
12035,56.0
12037,17.2
12039,149.4
12041,65.0
12043,30.0
12045,63.2
12047,62.7
12049,14.5
12051,48.0
12053,45.3
12055,24.6
12057,142.8
12059,20.3
12061,41.6
12063,61.3
12065,133.9
12067,22.6
12069,58.1
12071,58.8
12073,247.3
12075,78.2
12077,12.0
12079,42.7
12081,138.8
12083,89.2
12085,35.0
12086,92.7
12087,24.9
12089,63.4
12091,72.2
12093,25.4
12095,154.5
12097,63.7
12099,81.3
12101,42.7
12103,143.0
12105,105.5
12107,79.9
12109,52.5
12111,82.3
12113,43.5
12115,75.8
12117,70.9
12119,29.0
12121,54.9
12123,48.1
12125,112.3
12127,80.5
12129,38.7
12131,50.2
12133,65.0
13001,59.7
13003,36.2
13005,8.9
13007,0.0
13009,160.7
13011,16.3
13013,64.4
13015,79.0
13017,177.0
13019,42.0
13021,354.8
13023,140.9
13025,27.3
13027,103.1
13029,72.4
13031,169.9
13033,96.0
13035,64.2
13037,92.0
13039,66.1
13043,54.9
13045,178.0
13047,72.0
13049,83.0
13051,202.9
13053,116.8
13055,47.7
13057,24.4
13059,169.1
13061,0.0
13063,230.5
13065,88.3
13067,89.5
13069,48.6
13071,71.3
13073,30.3
13075,87.9
13077,69.8
13079,40.0
13081,141.4
13083,48.5
13085,13.2
13087,175.4
13089,196.5
13091,103.7
13093,48.9
13095,209.7
13097,112.2
13099,237.1
13101,0.0
13103,51.4
13105,132.7
13107,227.4
13109,92.3
13111,12.6
13113,37.8
13115,132.5
13117,11.8
13119,104.5
13121,260.1
13123,38.5
13125,64.5
13127,166.9
13129,98.6
13131,98.9
13133,128.7
13135,64.0
13137,34.6
13139,37.3
13141,225.3
13143,84.2
13145,39.8
13147,78.6
13149,34.6
13151,86.7
13153,155.1
13155,127.3
13157,32.8
13159,51.5
13161,33.3
13163,128.7
13165,107.9
13167,71.7
13169,17.5
13171,105.8
13173,38.4
13175,135.4
13177,37.8
13179,157.5
13181,51.6
13183,18.0
13185,221.4
13187,12.9
13189,213.3
13191,128.5
13193,142.8
13195,53.5
13197,69.4
13199,150.7
13201,84.3
13205,134.5
13207,107.5
13209,77.6
13211,39.4
13213,84.0
13215,251.9
13217,138.6
13219,32.3
13221,55.0
13223,38.1
13225,207.3
13227,13.5
13229,37.0
13231,39.3
13233,51.0
13235,86.6
13237,74.9
13239,126.7
13241,73.9
13243,180.6
13245,258.4
13247,157.6
13249,0.0
13251,98.3
13253,100.6
13255,156.7
13257,218.0
13259,153.4
13261,178.5
13263,62.0
13265,293.6
13267,121.4
13269,94.5
13271,180.8
13273,221.7
13275,187.2
13277,101.8
13279,209.0
13281,0.0
13283,134.1
13285,267.9
13287,36.9
13289,47.2
13291,9.3
13293,86.6
13295,44.0
13297,72.3
13299,196.0
13301,215.9
13303,120.9
13305,126.3
13307,183.9
13309,25.3
13311,18.0
13313,57.3
13315,44.6
13317,149.9
13319,63.6
13321,32.9
15001,20.4
15003,94.0
15005,0.0
15007,33.1
15009,21.2
16001,49.2
16003,0.0
16005,24.0
16007,0.0
16009,11.1
16011,15.5
16013,9.4
16015,14.7
16017,14.7
16019,10.2
16021,0.0
16023,37.9
16025,96.0
16027,33.2
