GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
8600000US01027,01027,ZCTA5 01027,0.4083,0.0287
8600000US01028,01028,ZCTA5 01028,0.4113,0.0223
8600000US01029,01029,ZCTA5 01029,0.4353,0.0859
8600000US01030,01030,ZCTA5 01030,0.3967,0.0224
8600000US01031,01031,ZCTA5 01031,0.4564,0.0678
8600000US01032,01032,ZCTA5 01032,0.3871,0.0624
8600000US01033,01033,ZCTA5 01033,0.3530,0.0304
8600000US01034,01034,ZCTA5 01034,0.3551,0.0293
8600000US01035,01035,ZCTA5 01035,0.4402,0.0570
8600000US01036,01036,ZCTA5 01036,0.3869,0.0314
8600000US01037,01037,ZCTA5 01037,0.3236,0.0828
8600000US01038,01038,ZCTA5 01038,0.4126,0.0439
8600000US01039,01039,ZCTA5 01039,0.4642,0.0469
8600000US01040,01040,ZCTA5 01040,0.5029,0.0164
8600000US01050,01050,ZCTA5 01050,0.3671,0.0341
8600000US01053,01053,ZCTA5 01053,0.3450,0.0456
8600000US01054,01054,ZCTA5 01054,0.4320,0.0361
8600000US01056,01056,ZCTA5 01056,0.4173,0.0365
8600000US01057,01057,ZCTA5 01057,0.3883,0.0277
8600000US01060,01060,ZCTA5 01060,0.5036,0.0312
8600000US01062,01062,ZCTA5 01062,0.5096,0.0568
8600000US01063,01063,ZCTA5 01063,-,**
8600000US01066,01066,ZCTA5 01066,-,**
8600000US01068,01068,ZCTA5 01068,0.3363,0.0296
8600000US01069,01069,ZCTA5 01069,0.4150,0.0265
8600000US01070,01070,ZCTA5 01070,0.4140,0.0417
8600000US01071,01071,ZCTA5 01071,0.3392,0.0343
8600000US01072,01072,ZCTA5 01072,0.4106,0.0422
8600000US01073,01073,ZCTA5 01073,0.3924,0.0321
8600000US01074,01074,ZCTA5 01074,0.1356,0.0630
8600000US01075,01075,ZCTA5 01075,0.4088,0.0218
8600000US01077,01077,ZCTA5 01077,0.3883,0.0275
8600000US01079,01079,ZCTA5 01079,0.3732,0.0811
8600000US01080,01080,ZCTA5 01080,0.3882,0.0461
8600000US01081,01081,ZCTA5 01081,0.4383,0.0803
8600000US01082,01082,ZCTA5 01082,0.4334,0.0290
8600000US01083,01083,ZCTA5 01083,0.4397,0.0774
8600000US01084,01084,ZCTA5 01084,0.4809,0.1442
8600000US01085,01085,ZCTA5 01085,0.4167,0.0139
8600000US01086,01086,ZCTA5 01086,-,**
8600000US01088,01088,ZCTA5 01088,0.4444,0.1137
8600000US01089,01089,ZCTA5 01089,0.4316,0.0169
8600000US01092,01092,ZCTA5 01092,0.4736,0.1355
8600000US01093,01093,ZCTA5 01093,0.3544,0.0756
8600000US01094,01094,ZCTA5 01094,0.5227,0.0811
8600000US01095,01095,ZCTA5 01095,0.4146,0.0249
8600000US01096,01096,ZCTA5 01096,0.4184,0.0364
8600000US01097,01097,ZCTA5 01097,0.1545,0.1974
8600000US01098,01098,ZCTA5 01098,0.3751,0.0406
8600000US01103,01103,ZCTA5 01103,0.5914,0.0432
8600000US01104,01104,ZCTA5 01104,0.4896,0.0309
8600000US01105,01105,ZCTA5 01105,0.5463,0.0778
8600000US01106,01106,ZCTA5 01106,0.4911,0.0389
8600000US01107,01107,ZCTA5 01107,0.5062,0.0281
8600000US01108,01108,ZCTA5 01108,0.4867,0.0258
8600000US01109,01109,ZCTA5 01109,0.4597,0.0201
8600000US01118,01118,ZCTA5 01118,0.3757,0.0212
8600000US01119,01119,ZCTA5 01119,0.4403,0.0319
8600000US01128,01128,ZCTA5 01128,0.3202,0.0440
8600000US01129,01129,ZCTA5 01129,0.3933,0.0306
8600000US01151,01151,ZCTA5 01151,0.4515,0.0291
8600000US01199,01199,ZCTA5 01199,-,**
8600000US01201,01201,ZCTA5 01201,0.4573,0.0152
8600000US01220,01220,ZCTA5 01220,0.4343,0.0412
8600000US01222,01222,ZCTA5 01222,0.3529,0.0984
8600000US01223,01223,ZCTA5 01223,0.4946,0.1034
8600000US01224,01224,ZCTA5 01224,0.3410,0.0960
8600000US01225,01225,ZCTA5 01225,0.4049,0.0377
8600000US01226,01226,ZCTA5 01226,0.4765,0.0555
8600000US01229,01229,ZCTA5 01229,0.3340,0.1144
8600000US01230,01230,ZCTA5 01230,0.5030,0.0490
8600000US01235,01235,ZCTA5 01235,0.3644,0.0405
8600000US01236,01236,ZCTA5 01236,0.4011,0.0639
8600000US01237,01237,ZCTA5 01237,0.4020,0.0511
8600000US01238,01238,ZCTA5 01238,0.4289,0.0432
8600000US01240,01240,ZCTA5 01240,0.5642,0.0680
8600000US01242,01242,ZCTA5 01242,0.2743,0.1160
8600000US01243,01243,ZCTA5 01243,0.4298,0.1197
8600000US01244,01244,ZCTA5 01244,0.4537,0.1356
8600000US01245,01245,ZCTA5 01245,0.5169,0.0879
8600000US01247,01247,ZCTA5 01247,0.4507,0.0238
8600000US01253,01253,ZCTA5 01253,0.4271,0.0651
8600000US01254,01254,ZCTA5 01254,0.4551,0.0344
8600000US01255,01255,ZCTA5 01255,0.4258,0.0420
8600000US01256,01256,ZCTA5 01256,0.3848,0.0384
8600000US01257,01257,ZCTA5 01257,0.5118,0.0783
8600000US01258,01258,ZCTA5 01258,0.4072,0.1183
8600000US01259,01259,ZCTA5 01259,0.3972,0.0554
8600000US01260,01260,ZCTA5 01260,0.3377,0.1431
8600000US01262,01262,ZCTA5 01262,0.5459,0.0595
8600000US01264,01264,ZCTA5 01264,0.4554,0.1584
8600000US01266,01266,ZCTA5 01266,0.4408,0.0432
8600000US01267,01267,ZCTA5 01267,0.4799,0.0340
8600000US01270,01270,ZCTA5 01270,0.3994,0.0411
8600000US01301,01301,ZCTA5 01301,0.4278,0.0382
8600000US01330,01330,ZCTA5 01330,0.3889,0.0384
8600000US01331,01331,ZCTA5 01331,0.3978,0.0202
8600000US01337,01337,ZCTA5 01337,0.3684,0.0288
8600000US01338,01338,ZCTA5 01338,0.3554,0.1001
8600000US01339,01339,ZCTA5 01339,0.4379,0.0398
8600000US01340,01340,ZCTA5 01340,0.4424,0.0539
8600000US01341,01341,ZCTA5 01341,0.4183,0.0372
8600000US01342,01342,ZCTA5 01342,0.3951,0.0850
8600000US01343,01343,ZCTA5 01343,0.2832,0.1435
8600000US01344,01344,ZCTA5 01344,0.3450,0.0324
8600000US01346,01346,ZCTA5 01346,0.4234,0.0556
8600000US01347,01347,ZCTA5 01347,0.2836,0.1391
8600000US01349,01349,ZCTA5 01349,0.3754,0.0621
8600000US01350,01350,ZCTA5 01350,0.3985,0.0882
8600000US01351,01351,ZCTA5 01351,0.3756,0.0419
8600000US01354,01354,ZCTA5 01354,0.3422,0.0342
8600000US01355,01355,ZCTA5 01355,0.3290,0.0432
8600000US01360,01360,ZCTA5 01360,0.3644,0.0366
8600000US01364,01364,ZCTA5 01364,0.4352,0.0298
8600000US01366,01366,ZCTA5 01366,0.3853,0.0259
8600000US01367,01367,ZCTA5 01367,0.4516,0.1202
8600000US01368,01368,ZCTA5 01368,0.3533,0.0311
8600000US01370,01370,ZCTA5 01370,0.4012,0.0307
8600000US01373,01373,ZCTA5 01373,0.3684,0.0358
8600000US01375,01375,ZCTA5 01375,0.4176,0.0383
8600000US01376,01376,ZCTA5 01376,0.4551,0.0489
8600000US01378,01378,ZCTA5 01378,0.3895,0.0371
8600000US01379,01379,ZCTA5 01379,0.4624,0.0456
