ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,,
00924,12143485,1620,4.69,0.00,"56,691","24,971",18.399196,-66.012452,,
00925,1158082,0,0.45,0.00,"8,696","5,413",18.400296,-66.050602,,
00926,62575083,1052384,24.16,0.41,"108,862","47,317",18.345400,-66.051545,,
00927,6804165,5831,2.63,0.00,"14,936","7,893",18.387953,-66.072098,,
00934,1940428,26786,0.75,0.01,288,140,18.411313,-66.124234,,
00936,417955,0,0.16,0.00,681,4,18.395463,-66.073773,,
00949,45604190,2130451,17.61,0.82,"82,278","33,340",18.430695,-66.212833,,
00950,6204986,1989345,2.40,0.77,9,5,18.463693,-66.234559,,
00951,1075640,29541,0.42,0.01,35,19,18.427530,-66.253789,,
00952,3207681,0,1.24,0.00,"10,008","4,169",18.427441,-66.182032,,
00953,69144842,1365378,26.70,0.53,"73,014","26,609",18.360727,-66.251526,,
00956,68564483,215310,26.47,0.08,"79,304","32,550",18.319539,-66.168891,,
00957,11965797,1407,4.62,0.00,"45,680","18,275",18.368533,-66.187693,,
00959,16609667,81790,6.41,0.03,"50,560","22,445",18.388924,-66.154999,,
00960,2409664,2485,0.93,0.00,"1,779",0,18.416919,-66.145795,,
00961,13367398,205470,5.16,0.08,"32,429","13,394",18.412229,-66.165168,,
00962,9876249,1152266,3.81,0.44,"22,491","8,939",18.442299,-66.145357,,
00965,1689483,342594,0.65,0.13,"9,134","3,848",18.433757,-66.114752,,
00966,8401213,4490,3.24,0.00,"16,676","7,894",18.401536,-66.117584,,
00968,1180763,0,0.46,0.00,"3,478","2,228",18.406077,-66.101223,,
00969,12622328,39797,4.87,0.02,"42,219","17,775",18.368062,-66.108062,,
00971,41324409,94183,15.96,0.04,"30,986","12,895",18.318832,-66.119215,,
00976,43356810,738172,16.74,0.29,"65,136","26,564",18.336408,-65.994057,,
00979,4061150,504754,1.57,0.19,"17,030","12,765",18.444388,-66.030129,,
00982,3654231,19111,1.41,0.01,"16,428","7,402",18.411261,-65.992045,,
00983,8987630,622892,3.47,0.24,"39,234","16,985",18.418007,-65.977070,,
00985,21083058,759741,8.14,0.29,"36,553","15,241",18.408588,-65.946933,,
00987,64272333,453240,24.82,0.17,"63,661","25,557",18.338161,-65.941083,,
01001,29635470,2229770,11.44,0.86,"16,769","7,557",42.062332,-72.628274,,
01002,142556362,4280260,55.04,1.65,"29,049","10,388",42.363977,-72.458507,,
01003,1842384,12788,0.71,0.00,"10,372",5,42.389941,-72.524108,,
01005,114586903,667042,44.24,0.26,"5,079","2,044",42.418848,-72.106598,,
01007,136345999,6943853,52.64,2.68,"14,649","5,839",42.279010,-72.400468,,
01008,139331467,5086093,53.80,1.96,"1,263",586,42.191846,-72.957325,,
01009,2065002,23,0.80,0.00,741,341,42.211969,-72.341433,,
01010,89982811,1420260,34.74,0.55,"3,609","1,598",42.129477,-72.205302,,
01011,81884563,342573,31.62,0.13,"1,370",659,42.300281,-72.968716,,
01012,33977749,545075,13.12,0.21,661,343,42.375425,-72.858192,,
01013,14567022,1731910,5.62,0.67,"23,188","10,246",42.154904,-72.602804,,
01020,32308345,1178303,12.47,0.45,"29,668","13,688",42.172698,-72.561835,,
01022,12322151,2118,4.76,0.00,"2,451","1,209",42.197741,-72.542713,,
01026,62170236,332515,24.00,0.13,946,513,42.465494,-72.918267,,
01027,104896540,1189669,40.50,0.46,"17,660","8,311",42.295008,-72.751877,,
01028,33686035,181933,13.01,0.07,"15,720","6,106",42.059614,-72.501234,,
01029,41047358,5315012,15.85,2.05,789,"1,078",42.193394,-73.044647,,
01030,30736637,469718,11.87,0.18,"11,669","4,582",42.072925,-72.686971,,
01031,20959213,0,8.09,0.00,"1,308",596,42.329397,-72.198190,,
01032,30481491,887372,11.77,0.34,570,363,42.457613,-72.814780,,
01033,72068288,667254,27.83,0.26,"6,227","2,454",42.244959,-72.500034,,
01034,185271061,5014353,71.53,1.94,"2,021","1,145",42.098207,-72.961272,,
01035,59791827,3939738,23.09,1.52,"5,250","2,230",42.356482,-72.568576,,
01036,50521716,105963,19.51,0.04,"5,109","1,937",42.062946,-72.417297,,
01037,34391428,235915,13.28,0.09,838,253,42.367961,-72.188710,,
01038,25893889,2245685,10.00,0.87,"2,545","1,181",42.385496,-72.606929,,
01039,34206722,595533,13.21,0.23,"1,336",640,42.404278,-72.688922,,
01040,55116741,4025645,21.28,1.55,"39,880","16,384",42.211656,-72.642448,,
01050,99270932,2581121,38.33,1.00,"2,530","1,167",42.286750,-72.869693,,
01053,13289904,251888,5.13,0.10,"1,685",636,42.356301,-72.713584,,
01054,59071058,425618,22.81,0.16,"1,851",811,42.469588,-72.484502,,
01056,70460584,2836425,27.20,1.10,"21,103","8,383",42.188865,-72.459079,,
01057,116307957,1607537,44.91,0.62,"8,534","3,470",42.093596,-72.321494,,
01060,28276974,3261695,10.92,1.26,"15,284","7,307",42.321488,-72.630588,,
01062,47018995,396854,18.15,0.15,"11,150","4,784",42.328314,-72.703923,,
01063,100502,0,0.04,0.00,430,1,42.318882,-72.638530,,
01066,1839260,121053,0.71,0.05,64,25,42.406903,-72.655018,,
01068,53949370,1008115,20.83,0.39,"1,902",711,42.350862,-72.044248,,
01069,72688936,766584,28.07,0.30,"8,469","3,779",42.187794,-72.308469,,
01070,53200760,594033,20.54,0.23,629,320,42.518446,-72.919017,,
01071,40349276,803435,15.58,0.31,"1,596",638,42.160060,-72.873853,,
01072,52021993,1342210,20.09,0.52,"1,478",748,42.456968,-72.417244,,
01073,72913678,2077741,28.15,0.80,"5,792","2,337",42.226948,-72.741588,,
01074,220752,52379,0.09,0.02,319,132,42.387603,-72.093230,,
01075,45888980,1773571,17.72,0.68,"17,527","7,162",42.256346,-72.580763,,
01077,79825932,2153492,30.82,0.83,"9,502","3,916",42.052570,-72.777353,,
01079,2921898,108238,1.13,0.04,692,325,42.197424,-72.327020,,
01080,4473453,258220,1.73,0.10,"2,334","1,093",42.182218,-72.365654,,
01081,37544477,568325,14.50,0.22,"1,698",820,42.061313,-72.234411,,
01082,119411357,16183211,46.10,6.25,"10,322","4,768",42.293533,-72.278599,,
01083,40871193,156824,15.78,0.06,"2,888","1,270",42.203642,-72.194599,,
01084,23821014,222863,9.20,0.09,176,88,42.392370,-72.882235,,
01085,155258467,2964576,59.95,1.14,"41,117","16,363",42.153503,-72.771602,,
01086,96152,0,0.04,0.00,687,0,42.130446,-72.793967,,
01088,13468904,36984,5.20,0.01,670,357,42.391709,-72.646494,,
01089,43286505,2094117,16.71,0.81,"28,391","12,697",42.125451,-72.649734,,
01092,17359776,80681,6.70,0.03,"1,394",591,42.191868,-72.235107,,
01093,13063805,16741,5.04,0.01,325,156,42.435121,-72.654963,,
01094,2942290,169907,1.14,0.07,351,171,42.359108,-72.136800,,
01095,58570047,581247,22.61,0.22,"14,319","5,535",42.127327,-72.427404,,
01096,82059161,532858,31.68,0.21,"2,217","1,029",42.397140,-72.763572,,
01097,4426154,208868,1.71,0.08,111,40,42.178038,-72.832611,,
