GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US01107,1107,ZCTA5 01107,22287,3313
8600000US01108,1108,ZCTA5 01108,35238,1985
8600000US01109,1109,ZCTA5 01109,32644,2740
8600000US01118,1118,ZCTA5 01118,65231,4887
8600000US01119,1119,ZCTA5 01119,47417,4395
8600000US01128,1128,ZCTA5 01128,74963,8154
8600000US01129,1129,ZCTA5 01129,62280,2111
8600000US01151,1151,ZCTA5 01151,34280,5468
8600000US01199,1199,ZCTA5 01199,-,**
8600000US01201,1201,ZCTA5 01201,44120,2722
8600000US01220,1220,ZCTA5 01220,41950,2646
8600000US01222,1222,ZCTA5 01222,78080,11200
8600000US01223,1223,ZCTA5 01223,65033,5095
8600000US01224,1224,ZCTA5 01224,37112,41082
8600000US01225,1225,ZCTA5 01225,58007,10778
8600000US01226,1226,ZCTA5 01226,48320,9563
8600000US01229,1229,ZCTA5 01229,34250,75486
8600000US01230,1230,ZCTA5 01230,53180,4353
8600000US01235,1235,ZCTA5 01235,64507,4869
8600000US01236,1236,ZCTA5 01236,62917,26760
8600000US01237,1237,ZCTA5 01237,76346,15929
8600000US01238,1238,ZCTA5 01238,61492,10555
8600000US01240,1240,ZCTA5 01240,51396,15571
8600000US01242,1242,ZCTA5 01242,55333,24536
8600000US01243,1243,ZCTA5 01243,73750,41166
8600000US01244,1244,ZCTA5 01244,27639,28175
8600000US01245,1245,ZCTA5 01245,53833,11472
8600000US01247,1247,ZCTA5 01247,39636,2733
8600000US01253,1253,ZCTA5 01253,66250,15622
8600000US01254,1254,ZCTA5 01254,83750,24065
8600000US01255,1255,ZCTA5 01255,56250,14506
8600000US01256,1256,ZCTA5 01256,57222,10192
8600000US01257,1257,ZCTA5 01257,46917,6601
8600000US01258,1258,ZCTA5 01258,64250,20720
8600000US01259,1259,ZCTA5 01259,61500,19752
8600000US01260,1260,ZCTA5 01260,47250,29034
8600000US01262,1262,ZCTA5 01262,47250,9155
8600000US01264,1264,ZCTA5 01264,90625,32986
8600000US01266,1266,ZCTA5 01266,78333,18069
8600000US01267,1267,ZCTA5 01267,74167,7284
8600000US01270,1270,ZCTA5 01270,69444,8461
8600000US01301,1301,ZCTA5 01301,48612,2746
8600000US01330,1330,ZCTA5 01330,77411,10939
8600000US01331,1331,ZCTA5 01331,51002,4871
8600000US01337,1337,ZCTA5 01337,62037,6459
8600000US01338,1338,ZCTA5 01338,71691,15553
8600000US01339,1339,ZCTA5 01339,51908,6609
8600000US01340,1340,ZCTA5 01340,46210,4437
8600000US01341,1341,ZCTA5 01341,79286,12873
8600000US01342,1342,ZCTA5 01342,101863,36154
8600000US01343,1343,ZCTA5 01343,81667,12917
8600000US01344,1344,ZCTA5 01344,59722,7806
8600000US01346,1346,ZCTA5 01346,58906,9369
8600000US01347,1347,ZCTA5 01347,38000,15756
8600000US01349,1349,ZCTA5 01349,54727,18188
8600000US01350,1350,ZCTA5 01350,32083,21368
8600000US01351,1351,ZCTA5 01351,71587,9550
8600000US01354,1354,ZCTA5 01354,75776,5024
8600000US01355,1355,ZCTA5 01355,75000,8993
8600000US01360,1360,ZCTA5 01360,60721,6020
8600000US01364,1364,ZCTA5 01364,41994,5693
8600000US01366,1366,ZCTA5 01366,72917,16207
8600000US01367,1367,ZCTA5 01367,49792,7750
8600000US01368,1368,ZCTA5 01368,60568,11364
8600000US01370,1370,ZCTA5 01370,53300,5755
8600000US01373,1373,ZCTA5 01373,67465,11385
8600000US01375,1375,ZCTA5 01375,50417,12920
8600000US01376,1376,ZCTA5 01376,41250,6359
8600000US01378,1378,ZCTA5 01378,55278,4368
8600000US01379,1379,ZCTA5 01379,38750,7912
8600000US01420,1420,ZCTA5 01420,46628,3236
8600000US01430,1430,ZCTA5 01430,85662,8976
8600000US01431,1431,ZCTA5 01431,83917,7096
8600000US01432,1432,ZCTA5 01432,66630,7990
8600000US01434,1434,ZCTA5 01434,97222,30402
8600000US01436,1436,ZCTA5 01436,70313,11194
8600000US01438,1438,ZCTA5 01438,61803,33451
8600000US01440,1440,ZCTA5 01440,46464,5107
8600000US01450,1450,ZCTA5 01450,116686,6766
8600000US01451,1451,ZCTA5 01451,135357,15424
8600000US01452,1452,ZCTA5 01452,83438,13867
8600000US01453,1453,ZCTA5 01453,59248,2666
8600000US01460,1460,ZCTA5 01460,111652,8130
8600000US01462,1462,ZCTA5 01462,71055,9094
8600000US01463,1463,ZCTA5 01463,77767,5522
8600000US01464,1464,ZCTA5 01464,66453,11636
8600000US01467,1467,ZCTA5 01467,184107,53243
8600000US01468,1468,ZCTA5 01468,70455,20512
8600000US01469,1469,ZCTA5 01469,81024,5900
8600000US01473,1473,ZCTA5 01473,87273,12409
8600000US01474,1474,ZCTA5 01474,95587,12171
8600000US01475,1475,ZCTA5 01475,59332,8237
8600000US01501,1501,ZCTA5 01501,73105,5260
8600000US01503,1503,ZCTA5 01503,88681,8355
8600000US01504,1504,ZCTA5 01504,72699,4987
8600000US01505,1505,ZCTA5 01505,102422,11981
8600000US01506,1506,ZCTA5 01506,63889,6712
8600000US01507,1507,ZCTA5 01507,91287,6997
8600000US01510,1510,ZCTA5 01510,64867,8269
8600000US01515,1515,ZCTA5 01515,71020,8961
8600000US01516,1516,ZCTA5 01516,84390,6503
8600000US01518,1518,ZCTA5 01518,48676,14840
8600000US01519,1519,ZCTA5 01519,101205,12727
8600000US01520,1520,ZCTA5 01520,98979,4656
8600000US01521,1521,ZCTA5 01521,64868,11740
8600000US01522,1522,ZCTA5 01522,94531,6575
8600000US01523,1523,ZCTA5 01523,89808,20570
8600000US01524,1524,ZCTA5 01524,65225,5634
8600000US01525,1525,ZCTA5 01525,47238,2556
8600000US01527,1527,ZCTA5 01527,71676,9352
