COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01023,36916,0.042115712,0.033333333,0.000000000,0.041335453
01023,36913,0.003261486,0.006666667,0.000000000,0.003444621
01023,36915,0.053460011,0.017777778,0.043478261,0.051271860
01023,36910,0.005388542,0.004444444,0.282608696,0.007021728
01023,36904,0.309557572,0.711111111,0.608695652,0.335320615
01023,36921,0.083380601,0.020000000,0.000000000,0.079093800
01023,36558,0.000709019,0.000000000,0.000000000,0.000662427
01025,36545,0.371426376,0.436115843,0.373239437,0.376710435
01025,36540,0.035582539,0.003407155,0.000000000,0.032273670
01025,36436,0.020135260,0.005110733,0.003521127,0.018590187
01025,36482,0.044189978,0.009369676,0.007042254,0.040635798
01025,36446,0.000000000,0.000851789,0.000000000,0.000069109
01025,36451,0.183446050,0.113287905,0.246478873,0.178991016
01025,36524,0.048186290,0.018739353,0.014084507,0.045127851
01025,36727,0.008837996,0.000000000,0.007042254,0.008085695
01025,36784,0.288195512,0.413117547,0.348591549,0.299516240
01027,36266,0.306661037,0.354166667,0.450000000,0.310001007
01027,36268,0.002744643,0.000000000,0.000000000,0.002618592
01027,35082,0.020584820,0.017857143,0.016666667,0.020445161
01027,36256,0.003694711,0.002976190,0.000000000,0.003625743
01027,36276,0.018051304,0.011904762,0.000000000,0.017625138
01027,36251,0.350258630,0.401785714,0.483333333,0.353610636
01027,36267,0.000000000,0.002976190,0.000000000,0.000100715
01027,36258,0.079594637,0.130952381,0.033333333,0.080773492
01027,35072,0.097540378,0.044642857,0.000000000,0.094571457
01027,36255,0.070727330,0.026785714,0.008333333,0.068486252
01027,35160,0.050142510,0.005952381,0.008333333,0.048141807
01029,36269,0.089946415,0.024074074,0.063636364,0.085414703
01029,36258,0.042230161,0.033333333,0.045454545,0.041705938
01029,36264,0.557157438,0.675925926,0.736363636,0.567035815
01029,36272,0.027175300,0.005555556,0.000000000,0.025447691
01029,36262,0.098494514,0.064814815,0.054545455,0.095782281
01029,36207,0.003317173,0.000000000,0.000000000,0.003063148
01029,36261,0.000000000,0.001851852,0.000000000,0.000117813
01029,36268,0.000127584,0.000000000,0.000000000,0.000117813
01029,36273,0.181551416,0.194444444,0.100000000,0.181314797
01031,36330,0.632137755,0.747717444,0.761824324,0.643242108
01031,36453,0.024130342,0.014416146,0.003378378,0.022992931
01031,36318,0.007798927,0.000480538,0.000000000,0.007104361
01031,36346,0.029110845,0.006727535,0.003378378,0.026947575
01031,36010,0.015018725,0.004805382,0.000000000,0.013963743
01031,36316,0.017412455,0.004324844,0.000000000,0.016098551
01031,36467,0.006795104,0.000480538,0.000000000,0.006194443
01031,36323,0.167020578,0.160019222,0.217905405,0.167564919
01031,36477,0.006293193,0.003363767,0.001689189,0.005984461
01031,36322,0.000077217,0.000000000,0.000000000,0.000069994
01031,36351,0.073780935,0.053339741,0.003378378,0.070833625
01031,36034,0.005945716,0.000480538,0.008445946,0.005599496
01031,36079,0.007644492,0.002883229,0.000000000,0.007139357
01031,36311,0.004787460,0.000000000,0.000000000,0.004339609
01031,36009,0.002046253,0.000961076,0.000000000,0.001924827
01033,35616,0.078391892,0.037197768,0.008474576,0.072536725
01033,35653,0.006342495,0.000619963,0.003177966,0.005711090
01033,35672,0.002449747,0.000000000,0.000000000,0.002149018
01033,35674,0.340883922,0.325480471,0.385593220,0.340663546
01033,35646,0.073660190,0.034097954,0.031779661,0.068739145
01033,35582,0.000033558,0.000000000,0.000000000,0.000029439
01033,35660,0.184267928,0.235585865,0.228813559,0.190379464
01033,35654,0.017248901,0.014879107,0.006355932,0.016721128
01033,35661,0.296721366,0.352138872,0.335805085,0.303070447
01035,36475,0.094571615,0.017518248,0.000000000,0.087333650
01035,36460,0.003531720,0.014598540,0.000000000,0.004396388
01035,36473,0.012949640,0.001459854,0.000000000,0.011882129
01035,36426,0.011903205,0.007299270,0.000000000,0.011406844
01035,36454,0.006671027,0.004379562,0.011627907,0.006535171
01035,36429,0.000000000,0.001459854,0.000000000,0.000118821
01035,36033,0.001569653,0.000000000,0.000000000,0.001425856
01035,36502,0.003400916,0.001459854,0.000000000,0.003208175
01035,36401,0.624068018,0.884671533,0.930232558,0.648407795
01035,36471,0.000130804,0.000000000,0.000000000,0.000118821
01035,36421,0.000130804,0.000000000,0.000000000,0.000118821
01035,36432,0.241072596,0.067153285,0.058139535,0.225047529
01037,35183,0.096023156,0.105504587,0.025641026,0.095940510
01037,35151,0.157689403,0.128440367,0.051282051,0.156406193
01037,35010,0.094387113,0.045871560,0.358974359,0.094355724
01037,35150,0.013340045,0.018348624,0.000000000,0.013409728
01037,35089,0.086836144,0.146788991,0.102564103,0.088504206
01037,35046,0.017618928,0.022935780,0.000000000,0.017676460
01037,35136,0.244022150,0.261467890,0.205128205,0.244300866
01037,35072,0.279637553,0.266055046,0.256410256,0.279166159
01037,36080,0.000629247,0.000000000,0.000000000,0.000609533
01037,36026,0.009816260,0.004587156,0.000000000,0.009630623
01039,36483,0.004739768,0.002428167,0.000000000,0.004457953
01039,36474,0.071324401,0.014973695,0.000000000,0.064924012
01039,36442,0.128292772,0.140833671,0.129770992,0.129564336
01039,36467,0.239996354,0.226224201,0.309160305,0.239351570
01039,36477,0.000364598,0.000000000,0.000000000,0.000324215
01039,36453,0.000091149,0.000000000,0.000000000,0.000081054
01039,36028,0.016452466,0.004046945,0.000000000,0.015035461
01039,36420,0.308586273,0.514366653,0.393129771,0.330091185
01039,36421,0.230152219,0.096317280,0.164122137,0.216048632
01039,36455,0.000000000,0.000404694,0.000000000,0.000040527
01039,36476,0.000000000,0.000404694,0.000000000,0.000040527
01039,36038,0.000000000,0.000000000,0.003816794,0.000040527
01041,36034,0.011837475,0.004594181,0.008064516,0.011286242
01041,36041,0.087981231,0.056661562,0.012096774,0.084160342
01041,36467,0.000319932,0.000000000,0.000000000,0.000291886
01041,36009,0.129785646,0.052067381,0.108870968,0.124343257
01041,36071,0.045643596,0.024502297,0.032258065,0.043977428
01041,36035,0.112402687,0.052067381,0.419354839,0.115975871
01041,36049,0.360243148,0.710566616,0.375000000,0.382856587
01041,36036,0.045963528,0.021439510,0.000000000,0.043296361
01041,36037,0.000213288,0.000000000,0.000000000,0.000194590
01041,36323,0.001173083,0.006125574,0.004032258,0.001556723
01041,36046,0.056627919,0.019908116,0.004032258,0.053025881
01041,36028,0.089474245,0.041347626,0.024193548,0.084841409
01041,36042,0.058334222,0.010719755,0.012096774,0.054193423
01043,35016,0.023322151,0.009840426,0.012396694,0.022108597
01043,35070,0.000000000,0.000265957,0.000000000,0.000020701
01043,35077,0.148444810,0.104255319,0.140495868,0.144885834
01043,35083,0.033979142,0.012234043,0.008264463,0.031900139
01043,35087,0.011615436,0.002925532,0.006887052,0.010867990
01043,35055,0.226603683,0.459042553,0.498622590,0.248783820
01043,35622,0.016795600,0.001595745,0.009641873,0.015504999
01043,35621,0.001871249,0.000531915,0.000000000,0.001738878
01043,35058,0.117820223,0.112234043,0.100550964,0.117125882
01043,35033,0.042582324,0.010372340,0.008264463,0.039559484
01043,35619,0.000296661,0.000000000,0.000000000,0.000269112
01043,35098,0.014696150,0.003191489,0.002754821,0.013621214
01043,35057,0.153145752,0.077393617,0.103305785,0.146500507
01043,35056,0.033568380,0.142287234,0.001377410,0.041546774
01043,35541,0.000159741,0.000000000,0.000000000,0.000144907
01043,35976,0.000114101,0.000000000,0.000000000,0.000103505
01043,35540,0.001414847,0.000265957,0.000000000,0.001304159
01043,35019,0.020241437,0.010106383,0.009641873,0.019293270
01043,35053,0.050797563,0.010372340,0.017906336,0.047156727
01043,35179,0.102530750,0.043085106,0.079889807,0.097563500
01045,36303,0.027149661,0.041007905,0.100169779,0.029576503
01045,36361,0.059436757,0.140810277,0.003395586,0.063934426
01045,36352,0.027899651,0.008893281,0.003395586,0.026092896
01045,36371,0.000000000,0.000494071,0.000000000,0.000034153
01045,36360,0.403269959,0.453063241,0.468590832,0.408025956
01045,36362,0.077399033,0.005434783,0.027164686,0.071413934
01045,36350,0.097536281,0.035079051,0.137521222,0.094023224
01045,36322,0.178497769,0.256422925,0.208828523,0.184494536
01045,36345,0.003487456,0.000988142,0.000000000,0.003244536
01045,36317,0.000899989,0.000000000,0.000000000,0.000819672
01045,36311,0.030974613,0.010869565,0.000000000,0.028961749
01045,36353,0.010012375,0.004446640,0.000000000,0.009426230
01045,36330,0.062324221,0.029644269,0.050933786,0.059836066
01045,36374,0.021112236,0.012845850,0.000000000,0.020116120
01047,36767,0.036393646,0.005996310,0.016269611,0.032818945
01047,36785,0.006973386,0.002767528,0.000581058,0.006258000
01047,36761,0.015019600,0.010608856,0.002324230,0.013902717
01047,36775,0.018980813,0.007380074,0.002905288,0.017102830
01047,36759,0.042624304,0.014298893,0.001743173,0.037939127
01047,36703,0.285867547,0.351014760,0.331783847,0.293699332
01047,36758,0.016546317,0.005996310,0.000581058,0.014756080
01047,36701,0.558242212,0.597785978,0.633933759,0.565922344
01047,36749,0.010893336,0.002767528,0.007553748,0.010062580
01047,36773,0.008458841,0.001383764,0.002324230,0.007538046
01049,35978,0.066976282,0.024301337,0.032432432,0.063633924
01049,35984,0.030056081,0.015390846,0.012612613,0.028824477
01049,35975,0.014984227,0.001215067,0.000000000,0.013848631
01049,35962,0.089788527,0.036452005,0.061261261,0.085829308
01049,35957,0.027193597,0.005670312,0.007207207,0.025469673
01049,35771,0.000817853,0.000000000,0.000000000,0.000751476
01049,35951,0.026697044,0.005265290,0.003603604,0.024932904
01049,35979,0.011888071,0.004455245,0.000000000,0.011218465
01049,35971,0.065252950,0.036857027,0.050450450,0.063150832
01049,35968,0.102202360,0.219117051,0.064864865,0.109393451
01049,35981,0.033531955,0.024301337,0.059459459,0.033306495
01049,35963,0.023776142,0.002835156,0.010810811,0.022195384
01049,35765,0.000671807,0.000405022,0.000000000,0.000644122
01049,35983,0.000584180,0.000000000,0.000000000,0.000536769
01049,35954,0.001752541,0.000405022,0.000000000,0.001637144
01049,35961,0.054679285,0.017010936,0.041441441,0.051986044
01049,35986,0.108423881,0.096800324,0.099099099,0.107514761
01049,35967,0.225143124,0.452814905,0.509909910,0.244471283
01049,35959,0.000817853,0.000000000,0.000000000,0.000751476
01049,35989,0.045712116,0.010125557,0.007207207,0.042780462
01049,35988,0.025324220,0.012150668,0.027027027,0.024476651
01049,35974,0.023250380,0.023086270,0.001801802,0.022920021
01049,35956,0.000029209,0.000000000,0.000000000,0.000026838
01049,35966,0.020446314,0.011340624,0.010810811,0.019699410
